Term,drug_candidate,Adjusted P-value,P-value,Combined Score,Overlap,Genes,query_name,query_description
Salbutamol CTD 00005336,Salbutamol CTD 00005336,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,FN1;PTGS2,Fallback_DSigDB,Combined signature vs DSigDB
Rutin trihydrate BOSS,Rutin trihydrate BOSS,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,TAOK1;HBB,Fallback_DSigDB,Combined signature vs DSigDB
quinisocaine MCF7 UP,quinisocaine MCF7 UP,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,EGR1;TNFAIP3,Fallback_DSigDB,Combined signature vs DSigDB
F0447-0125 PC3 UP,F0447,0.0435314947223677,0.0178804597481127,41.82186992516352,2/41,HMOX1;HSPA1B,Fallback_DSigDB,Combined signature vs DSigDB
VX 39793 human GSE33606 sample 3345,VX 39793 human GSE33606 sample 3345,0.0140296342236862,0.0008717836295065136,41.72603598557134,6/380,COL3A1;SPARC;IGHG2;FGL2;HMOX1;DCN,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
methylprednisolone 6741 rat GSE490 sample 3668,methylprednisolone 6741 rat GSE490 sample 3668,0.0121837333981464,0.0031700121062194,41.60794292513941,4/298,COL1A2;CCL20;SPP1;TIMP1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
carboplatin (30 h) 10339178 human GSE13525 sample 3031,carboplatin (30 h) 10339178 human GSE13525 sample 3031,0.0077259349671685,0.001654832325425,41.58082478372865,5/423,SOCS2;EGR1;CCL20;PPIF;GEM,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
citalopram DB00215 human GSE7036 sample 3292,citalopram DB00215 human GSE7036 sample 3292,0.0202682377035868,0.0015865870735662,41.46015283525017,5/288,IGHG1;HLA-DRB5;IFITM2;CXCR4;HSPA1B,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
rosiglitazone 77999 mouse GSE1458 sample 2588,rosiglitazone 77999 mouse GSE1458 sample 2588,0.0122688256663626,0.003208273728786,41.37833287495083,4/299,PPIF;COL6A3;LIPA;HSPD1,Drug_Pert_GEO_reverse,GEO drugs that reverse TB downregulation
atorvastatin DB01076 human GSE11393 sample 3401,atorvastatin DB01076 human GSE11393 sample 3401,0.0202682377035868,0.0016109148463833,41.21454218354836,5/289,IFITM2;FCGR3B;IL18RAP;FGL2;CRTAM,Drug_Pert_GEO,GEO drugs that reverse TB upregulation
