gene,mean_abs_shap,mean_shap,direction,rank
SLC26A2,0.010382178201776072,-0.0015770695234774937,DOWN,284
SEPP1,0.010316158031260467,-0.0026929514497388745,DOWN,285
HIST1H1C,0.010308634686214903,-0.0011279940187635183,DOWN,286
IFRD1,0.010304176051546002,0.001365229895303916,UP,287
GPATCH8,0.01018367793764264,0.000214075968682205,UP,288
OGT,0.01015385100606009,-0.00011337806494899556,DOWN,289
N4BP2,0.010112223865789782,-0.0007700957029371154,DOWN,290
BGN,0.010095878188686907,0.0005066032649505337,UP,291
PRDM1,0.010062285937504904,-0.0002976141975405265,DOWN,292
NLRP3,0.009969052751438728,0.00019986727392164616,UP,293
RASGRP1,0.00995431468344188,-0.0006171309797683472,DOWN,294
TNFSF10,0.009954141344804079,0.00045673749246171347,UP,295
S1PR5,0.009887531076674004,0.00240485729324218,UP,296
CDC14A,0.009825832874051133,-0.0004323364903051344,DOWN,297
NEGR1,0.00982367107120894,1.44421269775083e-05,UP,298
HMGB2,0.009737824639459684,0.0008007612562047331,UP,299
GZMA,0.009607338660771693,0.0012502813669562263,UP,300
FER,0.009601865494805021,0.0014406730653500784,UP,301
IFIT2,0.009442077308688394,0.0005165807524513925,UP,302
CAV1,0.009387815591104444,-0.0006596031574077246,DOWN,303
RUNX3,0.009382629920682943,-0.00025352162903547024,DOWN,304
DIP2A,0.009373580832617983,0.0008824142769648973,UP,305
DUSP4,0.00934073887039735,0.0012268906469163345,UP,306
DDX60L,0.009321075494469647,0.00015858364923473,UP,307
FCER1A,0.009308831552493598,-0.001452754186852031,DOWN,308
FYN,0.009278616707145818,-0.00033194922737207007,DOWN,309
LAX1,0.00921903905709203,2.0460615892147473e-05,UP,310
PRKX,0.00917776104556862,-0.00010925952342818043,DOWN,311
ADARB1,0.009147029877078626,-3.794411296256949e-05,DOWN,312
AKAP5,0.009139883167674395,0.0009532860841165319,UP,313
ADAM12,0.00907932534385322,0.0008757582450349272,UP,314
TIFA,0.009078302825046243,-0.0002798122242196102,DOWN,315
SLC9B2,0.009002160499812225,0.0018750527453181628,UP,316
HP,0.008848234542588936,0.0013816341709566894,UP,317
CSF3R,0.008824219744806093,0.0038281828776186556,UP,318
RGS18,0.008818773566045582,-0.0011628163591791783,DOWN,319
ADAMTS9,0.008793008453557983,-0.000811882271026121,DOWN,320
TWISTNB,0.00877621053470274,-0.00013349833936799222,DOWN,321
LTB,0.008771356596022144,-0.0013793976078838393,DOWN,322
S100P,0.008749597148292985,-0.0010923933531171196,DOWN,323
CHD7,0.008738610927688985,0.0005040510029487349,UP,324
ATP10D,0.00873610535790167,-0.0016794524325238669,DOWN,325
DNAJC27,0.008645146810366941,-0.00032650955084197663,DOWN,326
